==367439== NVPROF is profiling process 367439, command: ./gd_multi
==367439== Profiling application: ./gd_multi
==367439== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
27.5657s  6.8796ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1089]
27.5726s     960ns                    -               -         -         -         -  2.1289KB  2.1149GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.5726s  4.6400us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1095]
27.5726s  3.8400us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1098]
27.5726s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.5726s  1.7600us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1105]
27.5727s  2.4640us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1109]
27.5727s  6.8884ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1111]
27.5796s  6.9483ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1113]
27.5866s  2.7200us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1118]
27.5866s  6.8849ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1120]
27.5934s     992ns                    -               -         -         -         -  2.1289KB  2.0467GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.5934s  4.5440us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1126]
27.5935s  3.8400us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1129]
27.5935s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.5935s  1.8240us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1136]
27.5935s  2.5280us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1140]
27.5935s  6.8837ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1142]
27.6004s  6.9558ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1144]
27.6074s  2.7520us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1149]
27.6074s  6.8839ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1151]
27.6142s     960ns                    -               -         -         -         -  2.1289KB  2.1149GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.6142s  4.6400us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1157]
27.6143s  3.8400us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1160]
27.6143s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.6143s  1.7920us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1167]
27.6143s  2.3680us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1171]
27.6143s  6.8793ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1173]
27.6212s  6.9773ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1175]
27.6282s  2.7520us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1180]
27.6282s  6.8843ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1182]
27.6351s     960ns                    -               -         -         -         -  2.1289KB  2.1149GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.6351s  4.7040us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1188]
27.6351s  3.8400us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1191]
27.6351s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.6351s  1.7280us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1198]
27.6351s  2.4640us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1202]
27.6352s  6.8831ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1204]
27.6421s  6.9684ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1206]
27.6490s  2.7200us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1211]
27.6490s  6.8853ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1213]
27.6559s     960ns                    -               -         -         -         -  2.1289KB  2.1149GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.6559s  4.5760us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1219]
27.6559s  3.8080us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1222]
27.6559s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.6560s  1.7600us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1229]
27.6560s  2.4320us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1233]
27.6560s  6.8824ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1235]
27.6629s  6.9250ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1237]
27.6698s  2.2400us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1242]
27.6698s  6.8711ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1244]
27.6767s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.6767s  3.7440us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1250]
27.6767s  2.9440us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1253]
27.6767s     992ns                    -               -         -         -         -        4B  3.8455MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.6767s  1.4080us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1260]
27.6767s  2.0160us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1264]
27.6767s  6.8736ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1266]
