==367439== NVPROF is profiling process 367439, command: ./gd_multi
==367439== Profiling application: ./gd_multi
==367439== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
27.9326s  6.9120ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1655]
27.9396s  2.1120us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1660]
27.9396s  6.8656ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1662]
27.9464s     768ns                    -               -         -         -         -  2.1289KB  2.6436GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.9464s  3.4560us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1668]
27.9464s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1671]
27.9464s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.9465s  3.2000us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1678]
27.9465s     960ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1681]
27.9465s  1.9200us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1685]
27.9465s  6.8698ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1687]
27.9534s  6.9141ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1689]
27.9603s  2.3040us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1694]
27.9603s  6.8694ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1696]
27.9672s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.9672s  3.4880us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1702]
27.9672s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1705]
27.9672s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.9672s  1.3440us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1712]
27.9672s  1.8880us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1716]
27.9672s  6.8700ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1718]
27.9741s  6.9202ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1720]
27.9810s  2.0800us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1725]
27.9810s  6.8702ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1727]
27.9879s     768ns                    -               -         -         -         -  2.1289KB  2.6436GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.9879s  3.5520us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1733]
27.9879s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1736]
27.9879s     960ns                    -               -         -         -         -        4B  3.9736MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.9879s  1.3130us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1743]
27.9880s     928ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1746]
27.9880s  1.9520us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1750]
27.9880s  6.8687ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1752]
27.9948s  6.9292ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1754]
28.0018s  2.1440us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1759]
28.0018s  6.8599ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1761]
28.0087s     768ns                    -               -         -         -         -  2.1289KB  2.6436GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
28.0087s  3.6160us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1767]
28.0087s  2.7520us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1770]
28.0087s     929ns                    -               -         -         -         -        4B  4.1062MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
28.0087s  1.4400us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1777]
28.0087s     896ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1780]
28.0087s  1.8240us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1784]
28.0087s  6.8729ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1786]
28.0156s  6.9164ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1788]
28.0225s  2.1760us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1793]
28.0225s  6.8620ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1795]
28.0294s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
28.0294s  3.4880us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1801]
28.0294s  2.7520us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1804]
28.0294s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
28.0294s  1.3760us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1811]
28.0294s     928ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1814]
28.0294s  1.8880us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1818]
28.0294s  6.8698ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1820]
28.0363s  6.9142ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1822]
28.0432s  2.0800us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1827]
28.0432s  6.8617ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1829]
28.0501s     768ns                    -               -         -         -         -  2.1289KB  2.6436GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
28.0501s  3.5200us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1835]
28.0501s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1838]
28.0501s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
28.0501s  1.3120us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1845]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
SrcMemType: The type of source memory accessed by memory operation/copy
DstMemType: The type of destination memory accessed by memory operation/copy
